time,ab_temperature
2018-01-02 00:00:00-05:00,-9.918
2018-01-02 01:00:00-05:00,-9.564
2018-01-02 02:00:00-05:00,-9.477
2018-01-02 03:00:00-05:00,-9.504
2018-01-02 04:00:00-05:00,-9.34
2018-01-02 05:00:00-05:00,-9.038
2018-01-02 06:00:00-05:00,-8.72
2018-01-02 07:00:00-05:00,-8.35
2018-01-02 08:00:00-05:00,-7.983
2018-01-02 09:00:00-05:00,-7.703
2018-01-02 10:00:00-05:00,-7.785
2018-01-02 11:00:00-05:00,-7.619
2018-01-02 12:00:00-05:00,-6.329
2018-01-02 13:00:00-05:00,-4.961
2018-01-02 14:00:00-05:00,-3.949
2018-01-02 15:00:00-05:00,-3.466
2018-01-02 16:00:00-05:00,-3.52
2018-01-02 17:00:00-05:00,-4.363
2018-01-02 18:00:00-05:00,-5.528
2018-01-02 19:00:00-05:00,-6.437
2018-01-02 20:00:00-05:00,-6.935
2018-01-02 21:00:00-05:00,-7.119
2018-01-02 22:00:00-05:00,-7.052
2018-01-02 23:00:00-05:00,-6.964
2018-01-03 00:00:00-05:00,-6.705
2018-01-03 01:00:00-05:00,-6.187
2018-01-03 02:00:00-05:00,-5.718
2018-01-03 03:00:00-05:00,-5.44
2018-01-03 04:00:00-05:00,-5.342
2018-01-03 05:00:00-05:00,-5.43
2018-01-03 06:00:00-05:00,-5.718
2018-01-03 07:00:00-05:00,-6.154
2018-01-03 08:00:00-05:00,-6.542
2018-01-03 09:00:00-05:00,-6.801
2018-01-03 10:00:00-05:00,-7.002
2018-01-03 11:00:00-05:00,-6.521
2018-01-03 12:00:00-05:00,-4.96
2018-01-03 13:00:00-05:00,-3.327
2018-01-03 14:00:00-05:00,-2.265
2018-01-03 15:00:00-05:00,-1.624
2018-01-03 16:00:00-05:00,-1.622
2018-01-03 17:00:00-05:00,-2.31
2018-01-03 18:00:00-05:00,-3.567
2018-01-03 19:00:00-05:00,-4.796
2018-01-03 20:00:00-05:00,-5.467
2018-01-03 21:00:00-05:00,-5.854
2018-01-03 22:00:00-05:00,-6.11
2018-01-03 23:00:00-05:00,-6.396
2018-01-04 00:00:00-05:00,-6.619
