time,bc_temperature
2018-01-02 00:00:00-05:00,-4.875
2018-01-02 01:00:00-05:00,-4.865
2018-01-02 02:00:00-05:00,-4.785
2018-01-02 03:00:00-05:00,-4.817
2018-01-02 04:00:00-05:00,-5.003
2018-01-02 05:00:00-05:00,-5.002
2018-01-02 06:00:00-05:00,-4.736
2018-01-02 07:00:00-05:00,-4.498
2018-01-02 08:00:00-05:00,-4.281
2018-01-02 09:00:00-05:00,-4.01
2018-01-02 10:00:00-05:00,-3.847
2018-01-02 11:00:00-05:00,-3.623
2018-01-02 12:00:00-05:00,-2.992
2018-01-02 13:00:00-05:00,-2.002
2018-01-02 14:00:00-05:00,-1.212
2018-01-02 15:00:00-05:00,-0.603
2018-01-02 16:00:00-05:00,-0.263
2018-01-02 17:00:00-05:00,-0.197
2018-01-02 18:00:00-05:00,-0.393
2018-01-02 19:00:00-05:00,-0.625
2018-01-02 20:00:00-05:00,-0.654
2018-01-02 21:00:00-05:00,-0.577
2018-01-02 22:00:00-05:00,-0.524
2018-01-02 23:00:00-05:00,-0.442
2018-01-03 00:00:00-05:00,-0.483
2018-01-03 01:00:00-05:00,-0.615
2018-01-03 02:00:00-05:00,-0.84
2018-01-03 03:00:00-05:00,-1.084
2018-01-03 04:00:00-05:00,-1.297
2018-01-03 05:00:00-05:00,-1.489
2018-01-03 06:00:00-05:00,-1.78
2018-01-03 07:00:00-05:00,-2.137
2018-01-03 08:00:00-05:00,-2.226
2018-01-03 09:00:00-05:00,-2.137
2018-01-03 10:00:00-05:00,-2.276
2018-01-03 11:00:00-05:00,-2.355
2018-01-03 12:00:00-05:00,-1.141
2018-01-03 13:00:00-05:00,0.199
2018-01-03 14:00:00-05:00,0.96
2018-01-03 15:00:00-05:00,1.485
2018-01-03 16:00:00-05:00,1.788
2018-01-03 17:00:00-05:00,1.651
2018-01-03 18:00:00-05:00,0.9
2018-01-03 19:00:00-05:00,-0.2
2018-01-03 20:00:00-05:00,-0.733
2018-01-03 21:00:00-05:00,-1.007
2018-01-03 22:00:00-05:00,-1.135
