time,nllab_temperature
2018-01-02 00:00:00-05:00,-3.297
2018-01-02 01:00:00-05:00,-3.322
2018-01-02 02:00:00-05:00,-3.374
2018-01-02 03:00:00-05:00,-3.475
2018-01-02 04:00:00-05:00,-3.696
2018-01-02 05:00:00-05:00,-3.859
2018-01-02 06:00:00-05:00,-3.905
2018-01-02 07:00:00-05:00,-3.657
2018-01-02 08:00:00-05:00,-3.218
2018-01-02 09:00:00-05:00,-2.929
2018-01-02 10:00:00-05:00,-2.718
2018-01-02 11:00:00-05:00,-2.552
2018-01-02 12:00:00-05:00,-2.575
2018-01-02 13:00:00-05:00,-2.83
2018-01-02 14:00:00-05:00,-3.458
2018-01-02 15:00:00-05:00,-4.079
2018-01-02 16:00:00-05:00,-4.381
2018-01-02 17:00:00-05:00,-4.657
2018-01-02 18:00:00-05:00,-4.923
2018-01-02 19:00:00-05:00,-5.115
2018-01-02 20:00:00-05:00,-5.276
2018-01-02 21:00:00-05:00,-5.464
2018-01-02 22:00:00-05:00,-5.689
2018-01-02 23:00:00-05:00,-5.841
2018-01-03 00:00:00-05:00,-5.916
2018-01-03 01:00:00-05:00,-6.008
2018-01-03 02:00:00-05:00,-5.936
2018-01-03 03:00:00-05:00,-5.815
2018-01-03 04:00:00-05:00,-5.871
2018-01-03 05:00:00-05:00,-5.973
2018-01-03 06:00:00-05:00,-6.056
2018-01-03 07:00:00-05:00,-5.761
2018-01-03 08:00:00-05:00,-5.102
2018-01-03 09:00:00-05:00,-4.464
2018-01-03 10:00:00-05:00,-3.979
2018-01-03 11:00:00-05:00,-3.652
2018-01-03 12:00:00-05:00,-3.567
2018-01-03 13:00:00-05:00,-3.758
2018-01-03 14:00:00-05:00,-4.197
2018-01-03 15:00:00-05:00,-4.647
2018-01-03 16:00:00-05:00,-5.029
2018-01-03 17:00:00-05:00,-5.351
2018-01-03 18:00:00-05:00,-5.635
2018-01-03 19:00:00-05:00,-5.932
2018-01-03 20:00:00-05:00,-6.338
2018-01-03 21:00:00-05:00,-6.691
2018-01-03 22:00:00-05:00,-6.896
2018-01-03 23:00:00-05:00,-7.257
2018-01-04 00:00:00-05:00,-7.599
2018-01-04 01:00:00-05:00,-7.858
2018-01-04 02:00:00-05:00,-7.818
2018-01-04 03:00:00-05:00,-7.692
2018-01-04 04:00:00-05:00,-8.02
