time,ns_temperature
2018-01-02 00:00:00-05:00,-10.987
2018-01-02 01:00:00-05:00,-11.083
2018-01-02 02:00:00-05:00,-11.279
2018-01-02 03:00:00-05:00,-11.435
2018-01-02 04:00:00-05:00,-11.587
2018-01-02 05:00:00-05:00,-11.702
2018-01-02 06:00:00-05:00,-11.763
2018-01-02 07:00:00-05:00,-11.492
2018-01-02 08:00:00-05:00,-10.762
2018-01-02 09:00:00-05:00,-10.315
2018-01-02 10:00:00-05:00,-9.99
2018-01-02 11:00:00-05:00,-9.643
2018-01-02 12:00:00-05:00,-9.376
2018-01-02 13:00:00-05:00,-9.258
2018-01-02 14:00:00-05:00,-9.361
2018-01-02 15:00:00-05:00,-9.79
2018-01-02 16:00:00-05:00,-10.176
2018-01-02 17:00:00-05:00,-10.487
2018-01-02 18:00:00-05:00,-10.671
2018-01-02 19:00:00-05:00,-10.823
2018-01-02 20:00:00-05:00,-10.955
2018-01-02 21:00:00-05:00,-11.087
2018-01-02 22:00:00-05:00,-11.418
2018-01-02 23:00:00-05:00,-11.789
2018-01-03 00:00:00-05:00,-12.081
2018-01-03 01:00:00-05:00,-12.084
2018-01-03 02:00:00-05:00,-11.911
2018-01-03 03:00:00-05:00,-11.632
2018-01-03 04:00:00-05:00,-11.224
2018-01-03 05:00:00-05:00,-10.887
2018-01-03 06:00:00-05:00,-10.678
2018-01-03 07:00:00-05:00,-9.913
2018-01-03 08:00:00-05:00,-8.186
2018-01-03 09:00:00-05:00,-6.648
2018-01-03 10:00:00-05:00,-5.27
2018-01-03 11:00:00-05:00,-4.394
2018-01-03 12:00:00-05:00,-3.94
2018-01-03 13:00:00-05:00,-3.782
2018-01-03 14:00:00-05:00,-4.148
2018-01-03 15:00:00-05:00,-5.319
2018-01-03 16:00:00-05:00,-6.257
2018-01-03 17:00:00-05:00,-6.681
2018-01-03 18:00:00-05:00,-6.456
2018-01-03 19:00:00-05:00,-6.0
2018-01-03 20:00:00-05:00,-5.533
2018-01-03 21:00:00-05:00,-5.177
2018-01-03 22:00:00-05:00,-4.66
2018-01-03 23:00:00-05:00,-4.224
2018-01-04 00:00:00-05:00,-3.975
2018-01-04 01:00:00-05:00,-3.588
2018-01-04 02:00:00-05:00,-3.339
2018-01-04 03:00:00-05:00,-3.172
2018-01-04 04:00:00-05:00,-2.473
2018-01-04 05:00:00-05:00,-1.675
2018-01-04 06:00:00-05:00,-1.101
2018-01-04 07:00:00-05:00,-0.494
2018-01-04 08:00:00-05:00,0.216
2018-01-04 09:00:00-05:00,0.805
2018-01-04 10:00:00-05:00,1.188
2018-01-04 11:00:00-05:00,1.336
2018-01-04 12:00:00-05:00,1.507
2018-01-04 13:00:00-05:00,1.713
2018-01-04 14:00:00-05:00,1.965
2018-01-04 15:00:00-05:00,2.447
2018-01-04 16:00:00-05:00,3.388
2018-01-04 17:00:00-05:00,4.817
2018-01-04 18:00:00-05:00,5.814
2018-01-04 19:00:00-05:00,6.558
2018-01-04 20:00:00-05:00,7.134
2018-01-04 21:00:00-05:00,7.271
2018-01-04 22:00:00-05:00,7.221
2018-01-04 23:00:00-05:00,6.985
2018-01-05 00:00:00-05:00,6.586
2018-01-05 01:00:00-05:00,5.601
2018-01-05 02:00:00-05:00,4.238
2018-01-05 03:00:00-05:00,3.076
2018-01-05 04:00:00-05:00,2.2
2018-01-05 05:00:00-05:00,1.533
2018-01-05 06:00:00-05:00,1.1
2018-01-05 07:00:00-05:00,0.832
2018-01-05 08:00:00-05:00,0.757
2018-01-05 09:00:00-05:00,0.799
2018-01-05 10:00:00-05:00,0.904
2018-01-05 11:00:00-05:00,0.967
2018-01-05 12:00:00-05:00,0.826
2018-01-05 13:00:00-05:00,0.481
2018-01-05 14:00:00-05:00,-0.044
2018-01-05 15:00:00-05:00,-0.763
2018-01-05 16:00:00-05:00,-1.447
2018-01-05 17:00:00-05:00,-2.084
2018-01-05 18:00:00-05:00,-2.616
2018-01-05 19:00:00-05:00,-3.038
2018-01-05 20:00:00-05:00,-3.554
2018-01-05 21:00:00-05:00,-4.112
2018-01-05 22:00:00-05:00,-4.66
2018-01-05 23:00:00-05:00,-5.155
2018-01-06 00:00:00-05:00,-5.661
2018-01-06 01:00:00-05:00,-6.157
2018-01-06 02:00:00-05:00,-6.644
2018-01-06 03:00:00-05:00,-7.115
2018-01-06 04:00:00-05:00,-7.674
2018-01-06 05:00:00-05:00,-8.314
2018-01-06 06:00:00-05:00,-8.932
2018-01-06 07:00:00-05:00,-9.556
2018-01-06 08:00:00-05:00,-10.09
2018-01-06 09:00:00-05:00,-10.679
2018-01-06 10:00:00-05:00,-11.118
2018-01-06 11:00:00-05:00,-11.358
2018-01-06 12:00:00-05:00,-11.6
2018-01-06 13:00:00-05:00,-11.841
2018-01-06 14:00:00-05:00,-12.05
2018-01-06 15:00:00-05:00,-12.185
2018-01-06 16:00:00-05:00,-12.324
2018-01-06 17:00:00-05:00,-12.526
2018-01-06 18:00:00-05:00,-12.658
2018-01-06 19:00:00-05:00,-12.762
2018-01-06 20:00:00-05:00,-12.887
2018-01-06 21:00:00-05:00,-13.042
2018-01-06 22:00:00-05:00,-13.165
2018-01-06 23:00:00-05:00,-13.2
2018-01-07 00:00:00-05:00,-13.24
2018-01-07 01:00:00-05:00,-13.331
2018-01-07 02:00:00-05:00,-13.557
2018-01-07 03:00:00-05:00,-13.909
2018-01-07 04:00:00-05:00,-14.356
2018-01-07 05:00:00-05:00,-14.874
2018-01-07 06:00:00-05:00,-15.449
2018-01-07 07:00:00-05:00,-15.854
2018-01-07 08:00:00-05:00,-15.803
2018-01-07 09:00:00-05:00,-15.438
2018-01-07 10:00:00-05:00,-14.769
2018-01-07 11:00:00-05:00,-13.885
2018-01-07 12:00:00-05:00,-13.07
2018-01-07 13:00:00-05:00,-12.448
2018-01-07 14:00:00-05:00,-12.18
2018-01-07 15:00:00-05:00,-12.346
2018-01-07 16:00:00-05:00,-12.563
2018-01-07 17:00:00-05:00,-12.617
2018-01-07 18:00:00-05:00,-12.532
2018-01-07 19:00:00-05:00,-12.344
2018-01-07 20:00:00-05:00,-11.981
2018-01-07 21:00:00-05:00,-11.426
2018-01-07 22:00:00-05:00,-10.813
2018-01-07 23:00:00-05:00,-10.239
2018-01-08 00:00:00-05:00,-9.62
2018-01-08 01:00:00-05:00,-8.806
2018-01-08 02:00:00-05:00,-7.854
2018-01-08 03:00:00-05:00,-7.035
2018-01-08 04:00:00-05:00,-6.422
2018-01-08 05:00:00-05:00,-6.027
2018-01-08 06:00:00-05:00,-5.873
2018-01-08 07:00:00-05:00,-5.778
2018-01-08 08:00:00-05:00,-5.547
2018-01-08 09:00:00-05:00,-5.269
2018-01-08 10:00:00-05:00,-4.909
2018-01-08 11:00:00-05:00,-4.513
2018-01-08 12:00:00-05:00,-4.183
2018-01-08 13:00:00-05:00,-4.083
2018-01-08 14:00:00-05:00,-4.286
