time,on_temperature
2018-01-02 00:00:00-05:00,-12.57
2018-01-02 01:00:00-05:00,-12.42
2018-01-02 02:00:00-05:00,-12.314
2018-01-02 03:00:00-05:00,-12.292
2018-01-02 04:00:00-05:00,-12.256
2018-01-02 05:00:00-05:00,-12.265
2018-01-02 06:00:00-05:00,-12.28
2018-01-02 07:00:00-05:00,-12.205
2018-01-02 08:00:00-05:00,-11.838
2018-01-02 09:00:00-05:00,-11.053
2018-01-02 10:00:00-05:00,-10.301
2018-01-02 11:00:00-05:00,-9.682
2018-01-02 12:00:00-05:00,-9.132
2018-01-02 13:00:00-05:00,-8.729
2018-01-02 14:00:00-05:00,-8.553
2018-01-02 15:00:00-05:00,-8.613
2018-01-02 16:00:00-05:00,-8.938
2018-01-02 17:00:00-05:00,-9.267
2018-01-02 18:00:00-05:00,-9.548
2018-01-02 19:00:00-05:00,-9.834
2018-01-02 20:00:00-05:00,-10.145
2018-01-02 21:00:00-05:00,-10.608
2018-01-02 22:00:00-05:00,-11.133
2018-01-02 23:00:00-05:00,-11.599
2018-01-03 00:00:00-05:00,-11.976
2018-01-03 01:00:00-05:00,-12.275
2018-01-03 02:00:00-05:00,-12.506
2018-01-03 03:00:00-05:00,-12.579
2018-01-03 04:00:00-05:00,-12.375
2018-01-03 05:00:00-05:00,-12.16
2018-01-03 06:00:00-05:00,-12.043
2018-01-03 07:00:00-05:00,-11.962
2018-01-03 08:00:00-05:00,-11.664
2018-01-03 09:00:00-05:00,-10.769
2018-01-03 10:00:00-05:00,-9.645
2018-01-03 11:00:00-05:00,-8.703
2018-01-03 12:00:00-05:00,-8.164
2018-01-03 13:00:00-05:00,-7.848
2018-01-03 14:00:00-05:00,-7.702
2018-01-03 15:00:00-05:00,-7.746
2018-01-03 16:00:00-05:00,-7.948
2018-01-03 17:00:00-05:00,-8.201
2018-01-03 18:00:00-05:00,-8.371
2018-01-03 19:00:00-05:00,-8.572
2018-01-03 20:00:00-05:00,-8.892
2018-01-03 21:00:00-05:00,-9.286
2018-01-03 22:00:00-05:00,-9.847
2018-01-03 23:00:00-05:00,-10.529
2018-01-04 00:00:00-05:00,-10.975
2018-01-04 01:00:00-05:00,-11.085
2018-01-04 02:00:00-05:00,-11.15
2018-01-04 03:00:00-05:00,-11.141
2018-01-04 04:00:00-05:00,-11.016
2018-01-04 05:00:00-05:00,-10.958
2018-01-04 06:00:00-05:00,-11.301
2018-01-04 07:00:00-05:00,-11.93
2018-01-04 08:00:00-05:00,-12.195
2018-01-04 09:00:00-05:00,-11.528
2018-01-04 10:00:00-05:00,-11.029
2018-01-04 11:00:00-05:00,-10.857
2018-01-04 12:00:00-05:00,-10.846
2018-01-04 13:00:00-05:00,-10.968
2018-01-04 14:00:00-05:00,-11.299
2018-01-04 15:00:00-05:00,-11.864
2018-01-04 16:00:00-05:00,-12.599
2018-01-04 17:00:00-05:00,-13.322
2018-01-04 18:00:00-05:00,-13.956
2018-01-04 19:00:00-05:00,-14.582
2018-01-04 20:00:00-05:00,-15.185
2018-01-04 21:00:00-05:00,-15.721
2018-01-04 22:00:00-05:00,-16.261
