Date,ldv_charging_kw
2/01/2018 0:00,514.73
2/01/2018 1:00,403
2/01/2018 2:00,428.38
2/01/2018 3:00,292.99
2/01/2018 4:00,236.38
2/01/2018 5:00,205.73
2/01/2018 6:00,456.63
2/01/2018 7:00,680.02
2/01/2018 8:00,741.06
2/01/2018 9:00,742.22
2/01/2018 10:00,624.35
2/01/2018 11:00,481.89
2/01/2018 12:00,440.19
2/01/2018 13:00,302.55
2/01/2018 14:00,207.64
2/01/2018 15:00,304.61
2/01/2018 16:00,581.58
2/01/2018 17:00,765.88
2/01/2018 18:00,814.78
2/01/2018 19:00,761.03
2/01/2018 20:00,700.97
2/01/2018 21:00,567.38
2/01/2018 22:00,433.98
2/01/2018 23:00,382.2
3/01/2018 0:00,306.11
3/01/2018 1:00,285.43
3/01/2018 2:00,229.09
3/01/2018 3:00,220.4
3/01/2018 4:00,248.98
3/01/2018 5:00,232.52
3/01/2018 6:00,440.9
3/01/2018 7:00,557.43
3/01/2018 8:00,620.54
3/01/2018 9:00,725.35
3/01/2018 10:00,714.42
3/01/2018 11:00,534.59
3/01/2018 12:00,384.28
3/01/2018 13:00,320.23
3/01/2018 14:00,343.54
3/01/2018 15:00,386.99
3/01/2018 16:00,570.05
3/01/2018 17:00,673.18
3/01/2018 18:00,791.22
3/01/2018 19:00,749.88
3/01/2018 20:00,660.53
3/01/2018 21:00,609.22
3/01/2018 22:00,444.19
3/01/2018 23:00,317.39
4/01/2018 0:00,234.78
4/01/2018 1:00,189.08
4/01/2018 2:00,216.33
4/01/2018 3:00,192.56
4/01/2018 4:00,185.3
4/01/2018 5:00,192.68
4/01/2018 6:00,395.81
4/01/2018 7:00,663.51
4/01/2018 8:00,911.85
4/01/2018 9:00,899.15
4/01/2018 10:00,797.63
4/01/2018 11:00,585.68
4/01/2018 12:00,460.48
4/01/2018 13:00,411.42
4/01/2018 14:00,435.64
4/01/2018 15:00,404.34
4/01/2018 16:00,567.54
4/01/2018 17:00,692.83
4/01/2018 18:00,780.88
4/01/2018 19:00,708.25
4/01/2018 20:00,649.69
4/01/2018 21:00,522.53
4/01/2018 22:00,479.22
4/01/2018 23:00,521.44
5/01/2018 0:00,410.49
5/01/2018 1:00,293.53
5/01/2018 2:00,200.14
5/01/2018 3:00,218.62
5/01/2018 4:00,167.43
5/01/2018 5:00,160.35
5/01/2018 6:00,475.12
5/01/2018 7:00,744.75
5/01/2018 8:00,863.66
5/01/2018 9:00,908.93
5/01/2018 10:00,720.89
5/01/2018 11:00,541.54
5/01/2018 12:00,402
5/01/2018 13:00,303.89
5/01/2018 14:00,318.68
5/01/2018 15:00,470.53
5/01/2018 16:00,545.23
5/01/2018 17:00,681.61
5/01/2018 18:00,830.88
5/01/2018 19:00,763.92
5/01/2018 20:00,662
5/01/2018 21:00,558.8
5/01/2018 22:00,591.15
5/01/2018 23:00,479.31
6/01/2018 0:00,389.99
6/01/2018 1:00,294.59
6/01/2018 2:00,220.78
6/01/2018 3:00,196
6/01/2018 4:00,202.22
6/01/2018 5:00,226.91
6/01/2018 6:00,310.51
6/01/2018 7:00,297.06
6/01/2018 8:00,263.27
6/01/2018 9:00,263.36
6/01/2018 10:00,366.71
6/01/2018 11:00,441.4
6/01/2018 12:00,456.74
6/01/2018 13:00,454.12
6/01/2018 14:00,556.05
6/01/2018 15:00,584.51
6/01/2018 16:00,556.11
6/01/2018 17:00,449.1
6/01/2018 18:00,394.93
6/01/2018 19:00,594.81
6/01/2018 20:00,609.07
6/01/2018 21:00,761.89
6/01/2018 22:00,828.12
6/01/2018 23:00,703.67
7/01/2018 0:00,562.6
7/01/2018 1:00,399.75
7/01/2018 2:00,338.05
7/01/2018 3:00,357.83
7/01/2018 4:00,321.39
7/01/2018 5:00,311.78
7/01/2018 6:00,324.97
7/01/2018 7:00,290.94
7/01/2018 8:00,296.87
7/01/2018 9:00,246.22
7/01/2018 10:00,224.66
7/01/2018 11:00,254
7/01/2018 12:00,368.24
7/01/2018 13:00,465.35
7/01/2018 14:00,492.57
7/01/2018 15:00,463.15
7/01/2018 16:00,394.86
7/01/2018 17:00,441.56
7/01/2018 18:00,408.14
7/01/2018 19:00,442.92
7/01/2018 20:00,478.92
7/01/2018 21:00,438.01
7/01/2018 22:00,513.54
7/01/2018 23:00,619.8
8/01/2018 0:00,561.62
8/01/2018 1:00,411.96
8/01/2018 2:00,288.77
8/01/2018 3:00,232.89
8/01/2018 4:00,210.97
8/01/2018 5:00,159.74
8/01/2018 6:00,341.42
8/01/2018 7:00,701.33
8/01/2018 8:00,825.28
8/01/2018 9:00,879.45
8/01/2018 10:00,661.36
8/01/2018 11:00,523.38
8/01/2018 12:00,413.46
8/01/2018 13:00,357.11
8/01/2018 14:00,312.05
8/01/2018 15:00,428.92
8/01/2018 16:00,642.79
8/01/2018 17:00,756.99
8/01/2018 18:00,741.38
8/01/2018 19:00,693.85
8/01/2018 20:00,600.9
8/01/2018 21:00,406.94
8/01/2018 22:00,392.42
8/01/2018 23:00,308.84
9/01/2018 0:00,265.78
9/01/2018 1:00,169.43
9/01/2018 2:00,152.3
9/01/2018 3:00,125.78
9/01/2018 4:00,124.99
9/01/2018 5:00,139.66
9/01/2018 6:00,259.01
9/01/2018 7:00,458.89
9/01/2018 8:00,550.54
9/01/2018 9:00,618.76
9/01/2018 10:00,542.11
9/01/2018 11:00,459.97
9/01/2018 12:00,392.51
9/01/2018 13:00,356
9/01/2018 14:00,366.83
9/01/2018 15:00,436.01
9/01/2018 16:00,661.41
9/01/2018 17:00,865.99
9/01/2018 18:00,872.03
9/01/2018 19:00,793.93
9/01/2018 20:00,666.52
9/01/2018 21:00,514.83
9/01/2018 22:00,411.24
9/01/2018 23:00,330.08
10/01/2018 0:00,277.26
10/01/2018 1:00,238.09
10/01/2018 2:00,201.44
10/01/2018 3:00,168.06
10/01/2018 4:00,132.24
10/01/2018 5:00,151.02
10/01/2018 6:00,524.16
10/01/2018 7:00,610.61
10/01/2018 8:00,750.94
10/01/2018 9:00,769.01
10/01/2018 10:00,638.45
10/01/2018 11:00,463.54
10/01/2018 12:00,384.25
10/01/2018 13:00,350.71
10/01/2018 14:00,335.18
10/01/2018 15:00,423.99
10/01/2018 16:00,615.79
10/01/2018 17:00,809.91
10/01/2018 18:00,826.41
10/01/2018 19:00,813.74
10/01/2018 20:00,701.95
10/01/2018 21:00,528.91
10/01/2018 22:00,460.11
10/01/2018 23:00,336.33
11/01/2018 0:00,294.74
11/01/2018 1:00,260.48
11/01/2018 2:00,243.9
11/01/2018 3:00,242.79
11/01/2018 4:00,241.77
11/01/2018 5:00,243.91
11/01/2018 6:00,343.12
11/01/2018 7:00,593.44
11/01/2018 8:00,864.87
11/01/2018 9:00,727.69
11/01/2018 10:00,589.11
11/01/2018 11:00,499.55
11/01/2018 12:00,413.03
11/01/2018 13:00,311.39
11/01/2018 14:00,246.69
11/01/2018 15:00,342.64
11/01/2018 16:00,543.84
11/01/2018 17:00,639.98
11/01/2018 18:00,765.02
11/01/2018 19:00,712.7
11/01/2018 20:00,605.19
11/01/2018 21:00,522.25
11/01/2018 22:00,430.9
11/01/2018 23:00,356.75
12/01/2018 0:00,319.38
12/01/2018 1:00,292.76
12/01/2018 2:00,248.9
12/01/2018 3:00,217.32
12/01/2018 4:00,178.41
12/01/2018 5:00,225.25
12/01/2018 6:00,478.47
12/01/2018 7:00,787.29
12/01/2018 8:00,806.5
12/01/2018 9:00,656.27
12/01/2018 10:00,598.21
12/01/2018 11:00,457.28
12/01/2018 12:00,333.84
12/01/2018 13:00,262.43
12/01/2018 14:00,316.06
12/01/2018 15:00,339.79
12/01/2018 16:00,501.27
12/01/2018 17:00,654.65
12/01/2018 18:00,667.46
12/01/2018 19:00,755.34
12/01/2018 20:00,641.66
12/01/2018 21:00,474.15
12/01/2018 22:00,394.12
12/01/2018 23:00,337.98
13/01/2018 0:00,279.53
13/01/2018 1:00,225.45
13/01/2018 2:00,234.87
13/01/2018 3:00,240.82
13/01/2018 4:00,254.35
13/01/2018 5:00,216.85
13/01/2018 6:00,210.32
13/01/2018 7:00,224.52
13/01/2018 8:00,219.37
13/01/2018 9:00,222.38
13/01/2018 10:00,292.65
13/01/2018 11:00,382.13
13/01/2018 12:00,392.69
13/01/2018 13:00,432.43
13/01/2018 14:00,370.38
13/01/2018 15:00,424.93
13/01/2018 16:00,410.6
13/01/2018 17:00,476.74
13/01/2018 18:00,442.6
13/01/2018 19:00,506.42
13/01/2018 20:00,556.12
13/01/2018 21:00,634.43
13/01/2018 22:00,679.24
13/01/2018 23:00,680.03
14/01/2018 0:00,560.15
14/01/2018 1:00,385.69
14/01/2018 2:00,277.68
14/01/2018 3:00,224.69
14/01/2018 4:00,200.63
14/01/2018 5:00,186.17
14/01/2018 6:00,177.92
14/01/2018 7:00,242.9
14/01/2018 8:00,224.26
14/01/2018 9:00,264.3
14/01/2018 10:00,253.59
14/01/2018 11:00,283.27
14/01/2018 12:00,319.95
14/01/2018 13:00,309.92
14/01/2018 14:00,312.04
14/01/2018 15:00,274.23
14/01/2018 16:00,329.12
14/01/2018 17:00,359.66
14/01/2018 18:00,335.31
14/01/2018 19:00,450.45
14/01/2018 20:00,512.29
14/01/2018 21:00,630.98
14/01/2018 22:00,645.23
14/01/2018 23:00,763.37
15/01/2018 0:00,557.4
15/01/2018 1:00,372.84
15/01/2018 2:00,222.24
15/01/2018 3:00,200.88
15/01/2018 4:00,189.7
15/01/2018 5:00,195.02
15/01/2018 6:00,414.59
15/01/2018 7:00,681.68
15/01/2018 8:00,780.09
15/01/2018 9:00,859.87
15/01/2018 10:00,701.14
15/01/2018 11:00,521.88
15/01/2018 12:00,378.79
15/01/2018 13:00,354.8
15/01/2018 14:00,287.38
15/01/2018 15:00,385.89
15/01/2018 16:00,682.33
15/01/2018 17:00,836.73
15/01/2018 18:00,820.57
15/01/2018 19:00,830.67
15/01/2018 20:00,662.03
15/01/2018 21:00,529.05
15/01/2018 22:00,434.04
15/01/2018 23:00,395.52
16/01/2018 0:00,363
16/01/2018 1:00,274.13
16/01/2018 2:00,261.96
16/01/2018 3:00,214.77
16/01/2018 4:00,223.09
16/01/2018 5:00,204.39
16/01/2018 6:00,377.86
16/01/2018 7:00,598.96
16/01/2018 8:00,819.94
16/01/2018 9:00,935.71
16/01/2018 10:00,843.91
