time,load
2018-01-02 00:00:00-05:00,15809
2018-01-02 01:00:00-05:00,15465
2018-01-02 02:00:00-05:00,15255
2018-01-02 03:00:00-05:00,15236
2018-01-02 04:00:00-05:00,15275
2018-01-02 05:00:00-05:00,15726
2018-01-02 06:00:00-05:00,16874
2018-01-02 07:00:00-05:00,17897
2018-01-02 08:00:00-05:00,18232
2018-01-02 09:00:00-05:00,18739
2018-01-02 10:00:00-05:00,19030
2018-01-02 11:00:00-05:00,19126
2018-01-02 12:00:00-05:00,18984
2018-01-02 13:00:00-05:00,18873
2018-01-02 14:00:00-05:00,18753
2018-01-02 15:00:00-05:00,18883
2018-01-02 16:00:00-05:00,19396
2018-01-02 17:00:00-05:00,20331
2018-01-02 18:00:00-05:00,19890
2018-01-02 19:00:00-05:00,19937
2018-01-02 20:00:00-05:00,19633
2018-01-02 21:00:00-05:00,18816
2018-01-02 22:00:00-05:00,17792
2018-01-02 23:00:00-05:00,16921
2018-01-03 00:00:00-05:00,16277
2018-01-03 01:00:00-05:00,15835
2018-01-03 02:00:00-05:00,15606
2018-01-03 03:00:00-05:00,15554
2018-01-03 04:00:00-05:00,15656
2018-01-03 05:00:00-05:00,16088
2018-01-03 06:00:00-05:00,17140
2018-01-03 07:00:00-05:00,18148
2018-01-03 08:00:00-05:00,18464
2018-01-03 09:00:00-05:00,18933
2018-01-03 10:00:00-05:00,19013
2018-01-03 11:00:00-05:00,18830
2018-01-03 12:00:00-05:00,18804
2018-01-03 13:00:00-05:00,18848
2018-01-03 14:00:00-05:00,18860
2018-01-03 15:00:00-05:00,19119
2018-01-03 16:00:00-05:00,19471
2018-01-03 17:00:00-05:00,20380
2018-01-03 18:00:00-05:00,20108
2018-01-03 19:00:00-05:00,20005
2018-01-03 20:00:00-05:00,19754
2018-01-03 21:00:00-05:00,19002
2018-01-03 22:00:00-05:00,18102
2018-01-03 23:00:00-05:00,16963
2018-01-04 00:00:00-05:00,16223
2018-01-04 01:00:00-05:00,15787
2018-01-04 02:00:00-05:00,15467
2018-01-04 03:00:00-05:00,15185
2018-01-04 04:00:00-05:00,15412
2018-01-04 05:00:00-05:00,15902
2018-01-04 06:00:00-05:00,17158
2018-01-04 07:00:00-05:00,18198
2018-01-04 08:00:00-05:00,18537
2018-01-04 09:00:00-05:00,18760
2018-01-04 10:00:00-05:00,18699
2018-01-04 11:00:00-05:00,18639
2018-01-04 12:00:00-05:00,18537
2018-01-04 13:00:00-05:00,18546
2018-01-04 14:00:00-05:00,18299
2018-01-04 15:00:00-05:00,18613
2018-01-04 16:00:00-05:00,19028
2018-01-04 17:00:00-05:00,19935
2018-01-04 18:00:00-05:00,19930
2018-01-04 19:00:00-05:00,19980
2018-01-04 20:00:00-05:00,19856
2018-01-04 21:00:00-05:00,19678
2018-01-04 22:00:00-05:00,18889
2018-01-04 23:00:00-05:00,17940
2018-01-05 00:00:00-05:00,17475
2018-01-05 01:00:00-05:00,16808
2018-01-05 02:00:00-05:00,16679
2018-01-05 03:00:00-05:00,16620
2018-01-05 04:00:00-05:00,16706
2018-01-05 05:00:00-05:00,17173
2018-01-05 06:00:00-05:00,18123
2018-01-05 07:00:00-05:00,19177
2018-01-05 08:00:00-05:00,19660
2018-01-05 09:00:00-05:00,19836
2018-01-05 10:00:00-05:00,19789
2018-01-05 11:00:00-05:00,19773
2018-01-05 12:00:00-05:00,19585
2018-01-05 13:00:00-05:00,19503
2018-01-05 14:00:00-05:00,19430
2018-01-05 15:00:00-05:00,19647
2018-01-05 16:00:00-05:00,20022
2018-01-05 17:00:00-05:00,20906
2018-01-05 18:00:00-05:00,20706
2018-01-05 19:00:00-05:00,20429
2018-01-05 20:00:00-05:00,20276
2018-01-05 21:00:00-05:00,19754
2018-01-05 22:00:00-05:00,18914
2018-01-05 23:00:00-05:00,18064
2018-01-06 00:00:00-05:00,17293
2018-01-06 01:00:00-05:00,16937
2018-01-06 02:00:00-05:00,16505
2018-01-06 03:00:00-05:00,16599
2018-01-06 04:00:00-05:00,16647
2018-01-06 05:00:00-05:00,16764
2018-01-06 06:00:00-05:00,17155
2018-01-06 07:00:00-05:00,17841
2018-01-06 08:00:00-05:00,18703
2018-01-06 09:00:00-05:00,19116
2018-01-06 10:00:00-05:00,19225
2018-01-06 11:00:00-05:00,19340
2018-01-06 12:00:00-05:00,19153
2018-01-06 13:00:00-05:00,18895
2018-01-06 14:00:00-05:00,18781
2018-01-06 15:00:00-05:00,19077
2018-01-06 16:00:00-05:00,19741
2018-01-06 17:00:00-05:00,20768
2018-01-06 18:00:00-05:00,20217
2018-01-06 19:00:00-05:00,19782
2018-01-06 20:00:00-05:00,19725
2018-01-06 21:00:00-05:00,19538
2018-01-06 22:00:00-05:00,18723
2018-01-06 23:00:00-05:00,17819
2018-01-07 00:00:00-05:00,17015
2018-01-07 01:00:00-05:00,16531
2018-01-07 02:00:00-05:00,16240
2018-01-07 03:00:00-05:00,16103
2018-01-07 04:00:00-05:00,16031
2018-01-07 05:00:00-05:00,16095
2018-01-07 06:00:00-05:00,16439
2018-01-07 07:00:00-05:00,16797
2018-01-07 08:00:00-05:00,17181
2018-01-07 09:00:00-05:00,17757
2018-01-07 10:00:00-05:00,18095
2018-01-07 11:00:00-05:00,18351
2018-01-07 12:00:00-05:00,18486
2018-01-07 13:00:00-05:00,18714
2018-01-07 14:00:00-05:00,18784
2018-01-07 15:00:00-05:00,18833
2018-01-07 16:00:00-05:00,19370
