time,market_demand
2018-01-02 00:00:00-05:00,19138
2018-01-02 01:00:00-05:00,18169
2018-01-02 02:00:00-05:00,18272
2018-01-02 03:00:00-05:00,18064
2018-01-02 04:00:00-05:00,18484
2018-01-02 05:00:00-05:00,19221
2018-01-02 06:00:00-05:00,20418
2018-01-02 07:00:00-05:00,21870
2018-01-02 08:00:00-05:00,22284
2018-01-02 09:00:00-05:00,22603
2018-01-02 10:00:00-05:00,23242
2018-01-02 11:00:00-05:00,22869
2018-01-02 12:00:00-05:00,22442
2018-01-02 13:00:00-05:00,21919
2018-01-02 14:00:00-05:00,21872
2018-01-02 15:00:00-05:00,22010
2018-01-02 16:00:00-05:00,22985
2018-01-02 17:00:00-05:00,24161
2018-01-02 18:00:00-05:00,23960
2018-01-02 19:00:00-05:00,23865
2018-01-02 20:00:00-05:00,23367
2018-01-02 21:00:00-05:00,21823
2018-01-02 22:00:00-05:00,20146
2018-01-02 23:00:00-05:00,19628
2018-01-03 00:00:00-05:00,19030
2018-01-03 01:00:00-05:00,18844
2018-01-03 02:00:00-05:00,18504
2018-01-03 03:00:00-05:00,18315
2018-01-03 04:00:00-05:00,18757
2018-01-03 05:00:00-05:00,19379
2018-01-03 06:00:00-05:00,20617
2018-01-03 07:00:00-05:00,21698
2018-01-03 08:00:00-05:00,21990
2018-01-03 09:00:00-05:00,22435
2018-01-03 10:00:00-05:00,22662
2018-01-03 11:00:00-05:00,22274
2018-01-03 12:00:00-05:00,22384
2018-01-03 13:00:00-05:00,22441
2018-01-03 14:00:00-05:00,22577
2018-01-03 15:00:00-05:00,22805
2018-01-03 16:00:00-05:00,23689
2018-01-03 17:00:00-05:00,24490
2018-01-03 18:00:00-05:00,24010
2018-01-03 19:00:00-05:00,23590
2018-01-03 20:00:00-05:00,23295
2018-01-03 21:00:00-05:00,22638
2018-01-03 22:00:00-05:00,21469
2018-01-03 23:00:00-05:00,19829
2018-01-04 00:00:00-05:00,18662
2018-01-04 01:00:00-05:00,18461
2018-01-04 02:00:00-05:00,18096
2018-01-04 03:00:00-05:00,17847
2018-01-04 04:00:00-05:00,18191
2018-01-04 05:00:00-05:00,19063
2018-01-04 06:00:00-05:00,20693
2018-01-04 07:00:00-05:00,21939
2018-01-04 08:00:00-05:00,22316
2018-01-04 09:00:00-05:00,22367
2018-01-04 10:00:00-05:00,22378
2018-01-04 11:00:00-05:00,22337
2018-01-04 12:00:00-05:00,22253
2018-01-04 13:00:00-05:00,22152
2018-01-04 14:00:00-05:00,21673
2018-01-04 15:00:00-05:00,22234
2018-01-04 16:00:00-05:00,22757
2018-01-04 17:00:00-05:00,23866
2018-01-04 18:00:00-05:00,23622
2018-01-04 19:00:00-05:00,23677
2018-01-04 20:00:00-05:00,23391
2018-01-04 21:00:00-05:00,23095
2018-01-04 22:00:00-05:00,21847
2018-01-04 23:00:00-05:00,20603
2018-01-05 00:00:00-05:00,19752
2018-01-05 01:00:00-05:00,19217
2018-01-05 02:00:00-05:00,19237
2018-01-05 03:00:00-05:00,19273
2018-01-05 04:00:00-05:00,19194
2018-01-05 05:00:00-05:00,19993
2018-01-05 06:00:00-05:00,21096
2018-01-05 07:00:00-05:00,22149
2018-01-05 08:00:00-05:00,22797
2018-01-05 09:00:00-05:00,23030
2018-01-05 10:00:00-05:00,23281
2018-01-05 11:00:00-05:00,23073
2018-01-05 12:00:00-05:00,22737
2018-01-05 13:00:00-05:00,22802
2018-01-05 14:00:00-05:00,22763
2018-01-05 15:00:00-05:00,22751
2018-01-05 16:00:00-05:00,23057
2018-01-05 17:00:00-05:00,24158
2018-01-05 18:00:00-05:00,24185
2018-01-05 19:00:00-05:00,23571
2018-01-05 20:00:00-05:00,23802
2018-01-05 21:00:00-05:00,23320
2018-01-05 22:00:00-05:00,22111
2018-01-05 23:00:00-05:00,21347
2018-01-06 00:00:00-05:00,20432
2018-01-06 01:00:00-05:00,19959
2018-01-06 02:00:00-05:00,19524
2018-01-06 03:00:00-05:00,19633
2018-01-06 04:00:00-05:00,19752
2018-01-06 05:00:00-05:00,19906
2018-01-06 06:00:00-05:00,20231
2018-01-06 07:00:00-05:00,21117
2018-01-06 08:00:00-05:00,21936
2018-01-06 09:00:00-05:00,22250
2018-01-06 10:00:00-05:00,22355
2018-01-06 11:00:00-05:00,22877
2018-01-06 12:00:00-05:00,22640
2018-01-06 13:00:00-05:00,22368
2018-01-06 14:00:00-05:00,22394
2018-01-06 15:00:00-05:00,22775
2018-01-06 16:00:00-05:00,23253
2018-01-06 17:00:00-05:00,24125
2018-01-06 18:00:00-05:00,22845
2018-01-06 19:00:00-05:00,22817
2018-01-06 20:00:00-05:00,22951
2018-01-06 21:00:00-05:00,23014
2018-01-06 22:00:00-05:00,21983
2018-01-06 23:00:00-05:00,21033
2018-01-07 00:00:00-05:00,20506
2018-01-07 01:00:00-05:00,19934
2018-01-07 02:00:00-05:00,19518
2018-01-07 03:00:00-05:00,19094
2018-01-07 04:00:00-05:00,19062
2018-01-07 05:00:00-05:00,19090
2018-01-07 06:00:00-05:00,19448
2018-01-07 07:00:00-05:00,19799
2018-01-07 08:00:00-05:00,20384
2018-01-07 09:00:00-05:00,20842
2018-01-07 10:00:00-05:00,21097
2018-01-07 11:00:00-05:00,21871
2018-01-07 12:00:00-05:00,22299
2018-01-07 13:00:00-05:00,22023
2018-01-07 14:00:00-05:00,22360
2018-01-07 15:00:00-05:00,22458
2018-01-07 16:00:00-05:00,23335
2018-01-07 17:00:00-05:00,24439
2018-01-07 18:00:00-05:00,23954
2018-01-07 19:00:00-05:00,23709
2018-01-07 20:00:00-05:00,22909
2018-01-07 21:00:00-05:00,21703
2018-01-07 22:00:00-05:00,20609
2018-01-07 23:00:00-05:00,19697
2018-01-08 00:00:00-05:00,18439
2018-01-08 01:00:00-05:00,18057
2018-01-08 02:00:00-05:00,17697
2018-01-08 03:00:00-05:00,17765
2018-01-08 04:00:00-05:00,17736
2018-01-08 05:00:00-05:00,18389
2018-01-08 06:00:00-05:00,19038
2018-01-08 07:00:00-05:00,20243
2018-01-08 08:00:00-05:00,20371
2018-01-08 09:00:00-05:00,20351
2018-01-08 10:00:00-05:00,20725
2018-01-08 11:00:00-05:00,20741
2018-01-08 12:00:00-05:00,20657
2018-01-08 13:00:00-05:00,21392
2018-01-08 14:00:00-05:00,21328
2018-01-08 15:00:00-05:00,21169
2018-01-08 16:00:00-05:00,21403
2018-01-08 17:00:00-05:00,22305
2018-01-08 18:00:00-05:00,22089
2018-01-08 19:00:00-05:00,21741
2018-01-08 20:00:00-05:00,21309
2018-01-08 21:00:00-05:00,20820
2018-01-08 22:00:00-05:00,19320
2018-01-08 23:00:00-05:00,18222
2018-01-09 00:00:00-05:00,17430
2018-01-09 01:00:00-05:00,17014
2018-01-09 02:00:00-05:00,16805
2018-01-09 03:00:00-05:00,16683
2018-01-09 04:00:00-05:00,16808
2018-01-09 05:00:00-05:00,17042
2018-01-09 06:00:00-05:00,18154
2018-01-09 07:00:00-05:00,19809
2018-01-09 08:00:00-05:00,19795
2018-01-09 09:00:00-05:00,19720
2018-01-09 10:00:00-05:00,19657
2018-01-09 11:00:00-05:00,19686
2018-01-09 12:00:00-05:00,20027
2018-01-09 13:00:00-05:00,20140
2018-01-09 14:00:00-05:00,20010
2018-01-09 15:00:00-05:00,20208
2018-01-09 16:00:00-05:00,20960
2018-01-09 17:00:00-05:00,22106
2018-01-09 18:00:00-05:00,21816
2018-01-09 19:00:00-05:00,21631
2018-01-09 20:00:00-05:00,21197
2018-01-09 21:00:00-05:00,20690
2018-01-09 22:00:00-05:00,19206
2018-01-09 23:00:00-05:00,18354
2018-01-10 00:00:00-05:00,17660
2018-01-10 01:00:00-05:00,17712
2018-01-10 02:00:00-05:00,17663
2018-01-10 03:00:00-05:00,17897
2018-01-10 04:00:00-05:00,17826
2018-01-10 05:00:00-05:00,18215
2018-01-10 06:00:00-05:00,18909
2018-01-10 07:00:00-05:00,20397
2018-01-10 08:00:00-05:00,20484
2018-01-10 09:00:00-05:00,20210
2018-01-10 10:00:00-05:00,19844
2018-01-10 11:00:00-05:00,19895
2018-01-10 12:00:00-05:00,19901
2018-01-10 13:00:00-05:00,19383
2018-01-10 14:00:00-05:00,19778
2018-01-10 15:00:00-05:00,20414
2018-01-10 16:00:00-05:00,20737
2018-01-10 17:00:00-05:00,21462
2018-01-10 18:00:00-05:00,21301
2018-01-10 19:00:00-05:00,21383
2018-01-10 20:00:00-05:00,21099
2018-01-10 21:00:00-05:00,20643
2018-01-10 22:00:00-05:00,19403
2018-01-10 23:00:00-05:00,18352
2018-01-11 00:00:00-05:00,17931
2018-01-11 01:00:00-05:00,17471
2018-01-11 02:00:00-05:00,17157
2018-01-11 03:00:00-05:00,16848
2018-01-11 04:00:00-05:00,16930
2018-01-11 05:00:00-05:00,17478
2018-01-11 06:00:00-05:00,18460
2018-01-11 07:00:00-05:00,20044
2018-01-11 08:00:00-05:00,20403
2018-01-11 09:00:00-05:00,19959
2018-01-11 10:00:00-05:00,19463
2018-01-11 11:00:00-05:00,19373
2018-01-11 12:00:00-05:00,19379
2018-01-11 13:00:00-05:00,19423
2018-01-11 14:00:00-05:00,19493
2018-01-11 15:00:00-05:00,19556
2018-01-11 16:00:00-05:00,20085
2018-01-11 17:00:00-05:00,21031
2018-01-11 18:00:00-05:00,20665
2018-01-11 19:00:00-05:00,20352
2018-01-11 20:00:00-05:00,20043
2018-01-11 21:00:00-05:00,19428
2018-01-11 22:00:00-05:00,18718
2018-01-11 23:00:00-05:00,17244
2018-01-12 00:00:00-05:00,16918
2018-01-12 01:00:00-05:00,16349
2018-01-12 02:00:00-05:00,16072
2018-01-12 03:00:00-05:00,16089
2018-01-12 04:00:00-05:00,16300
2018-01-12 05:00:00-05:00,16692
2018-01-12 06:00:00-05:00,17138
2018-01-12 07:00:00-05:00,18450
2018-01-12 08:00:00-05:00,19292
2018-01-12 09:00:00-05:00,19462
2018-01-12 10:00:00-05:00,19750
2018-01-12 11:00:00-05:00,20128
2018-01-12 12:00:00-05:00,19525
2018-01-12 13:00:00-05:00,20021
2018-01-12 14:00:00-05:00,19691
2018-01-12 15:00:00-05:00,19882
2018-01-12 16:00:00-05:00,20549
2018-01-12 17:00:00-05:00,21531
2018-01-12 18:00:00-05:00,21444
2018-01-12 19:00:00-05:00,21403
2018-01-12 20:00:00-05:00,21372
2018-01-12 21:00:00-05:00,20863
2018-01-12 22:00:00-05:00,19692
2018-01-12 23:00:00-05:00,18661
2018-01-13 00:00:00-05:00,18588
2018-01-13 01:00:00-05:00,18298
2018-01-13 02:00:00-05:00,18153
2018-01-13 03:00:00-05:00,18051
2018-01-13 04:00:00-05:00,18011
2018-01-13 05:00:00-05:00,18181
2018-01-13 06:00:00-05:00,18547
2018-01-13 07:00:00-05:00,19064
2018-01-13 08:00:00-05:00,19651
2018-01-13 09:00:00-05:00,19993
2018-01-13 10:00:00-05:00,19898
2018-01-13 11:00:00-05:00,19728
2018-01-13 12:00:00-05:00,20156
2018-01-13 13:00:00-05:00,20181
2018-01-13 14:00:00-05:00,20177
2018-01-13 15:00:00-05:00,20476
2018-01-13 16:00:00-05:00,21236
2018-01-13 17:00:00-05:00,22748
2018-01-13 18:00:00-05:00,22069
2018-01-13 19:00:00-05:00,21903
2018-01-13 20:00:00-05:00,21872
2018-01-13 21:00:00-05:00,21516
2018-01-13 22:00:00-05:00,20474
2018-01-13 23:00:00-05:00,19505
2018-01-14 00:00:00-05:00,19676
2018-01-14 01:00:00-05:00,19298
2018-01-14 02:00:00-05:00,18979
2018-01-14 03:00:00-05:00,18879
2018-01-14 04:00:00-05:00,19205
2018-01-14 05:00:00-05:00,19420
2018-01-14 06:00:00-05:00,18064
2018-01-14 07:00:00-05:00,20242
2018-01-14 08:00:00-05:00,20908
2018-01-14 09:00:00-05:00,20174
2018-01-14 10:00:00-05:00,19864
2018-01-14 11:00:00-05:00,20134
2018-01-14 12:00:00-05:00,20525
2018-01-14 13:00:00-05:00,20862
2018-01-14 14:00:00-05:00,20649
2018-01-14 15:00:00-05:00,21171
2018-01-14 16:00:00-05:00,21710
2018-01-14 17:00:00-05:00,22599
2018-01-14 18:00:00-05:00,22620
2018-01-14 19:00:00-05:00,22564
2018-01-14 20:00:00-05:00,22752
2018-01-14 21:00:00-05:00,22124
2018-01-14 22:00:00-05:00,20741
2018-01-14 23:00:00-05:00,19882
2018-01-15 00:00:00-05:00,19745
2018-01-15 01:00:00-05:00,19637
2018-01-15 02:00:00-05:00,19049
2018-01-15 03:00:00-05:00,19039
2018-01-15 04:00:00-05:00,19162
2018-01-15 05:00:00-05:00,19971
2018-01-15 06:00:00-05:00,21847
2018-01-15 07:00:00-05:00,22317
2018-01-15 08:00:00-05:00,22722
2018-01-15 09:00:00-05:00,23604
2018-01-15 10:00:00-05:00,23450
2018-01-15 11:00:00-05:00,23481
2018-01-15 12:00:00-05:00,22976
2018-01-15 13:00:00-05:00,23182
2018-01-15 14:00:00-05:00,23547
2018-01-15 15:00:00-05:00,23468
2018-01-15 16:00:00-05:00,22586
2018-01-15 17:00:00-05:00,22272
2018-01-15 18:00:00-05:00,22417
2018-01-15 19:00:00-05:00,22501
2018-01-15 20:00:00-05:00,23247
2018-01-15 21:00:00-05:00,22989
2018-01-15 22:00:00-05:00,22028
2018-01-15 23:00:00-05:00,20572
2018-01-16 00:00:00-05:00,20197
2018-01-16 01:00:00-05:00,19569
2018-01-16 02:00:00-05:00,19332
2018-01-16 03:00:00-05:00,19228
2018-01-16 04:00:00-05:00,19261
2018-01-16 05:00:00-05:00,19803
2018-01-16 06:00:00-05:00,21239
2018-01-16 07:00:00-05:00,22222
2018-01-16 08:00:00-05:00,22474
2018-01-16 09:00:00-05:00,23074
2018-01-16 10:00:00-05:00,22865
2018-01-16 11:00:00-05:00,22592
2018-01-16 12:00:00-05:00,22111
2018-01-16 13:00:00-05:00,21967
2018-01-16 14:00:00-05:00,21581
2018-01-16 15:00:00-05:00,21833
2018-01-16 16:00:00-05:00,22798
2018-01-16 17:00:00-05:00,23816
2018-01-16 18:00:00-05:00,24227
2018-01-16 19:00:00-05:00,23944
2018-01-16 20:00:00-05:00,23467
2018-01-16 21:00:00-05:00,22457
2018-01-16 22:00:00-05:00,21497
2018-01-16 23:00:00-05:00,20323
2018-01-17 00:00:00-05:00,18805
2018-01-17 01:00:00-05:00,18645
2018-01-17 02:00:00-05:00,18566
2018-01-17 03:00:00-05:00,18243
2018-01-17 04:00:00-05:00,18598
2018-01-17 05:00:00-05:00,19351
2018-01-17 06:00:00-05:00,20548
2018-01-17 07:00:00-05:00,22137
2018-01-17 08:00:00-05:00,22413
2018-01-17 09:00:00-05:00,22165
2018-01-17 10:00:00-05:00,21712
2018-01-17 11:00:00-05:00,21134
2018-01-17 12:00:00-05:00,20381
2018-01-17 13:00:00-05:00,20446
2018-01-17 14:00:00-05:00,20543
2018-01-17 15:00:00-05:00,20823
2018-01-17 16:00:00-05:00,21823
2018-01-17 17:00:00-05:00,23203
2018-01-17 18:00:00-05:00,23302
2018-01-17 19:00:00-05:00,22992
2018-01-17 20:00:00-05:00,22766
2018-01-17 21:00:00-05:00,22090
2018-01-17 22:00:00-05:00,20498
2018-01-17 23:00:00-05:00,18885
2018-01-18 00:00:00-05:00,18659
2018-01-18 01:00:00-05:00,18549
2018-01-18 02:00:00-05:00,18263
2018-01-18 03:00:00-05:00,18190
2018-01-18 04:00:00-05:00,18034
2018-01-18 05:00:00-05:00,18586
2018-01-18 06:00:00-05:00,19597
