Date,on_temp_celcius
2/01/2018 0:00,-12.57
2/01/2018 1:00,-12.42
2/01/2018 2:00,-12.31
2/01/2018 3:00,-12.29
2/01/2018 4:00,-12.26
2/01/2018 5:00,-12.27
2/01/2018 6:00,-12.28
2/01/2018 7:00,-12.21
2/01/2018 8:00,-11.84
2/01/2018 9:00,-11.05
2/01/2018 10:00,-10.3
2/01/2018 11:00,-9.68
2/01/2018 12:00,-9.13
2/01/2018 13:00,-8.73
2/01/2018 14:00,-8.55
2/01/2018 15:00,-8.61
2/01/2018 16:00,-8.94
2/01/2018 17:00,-9.27
2/01/2018 18:00,-9.55
2/01/2018 19:00,-9.83
2/01/2018 20:00,-10.15
2/01/2018 21:00,-10.61
2/01/2018 22:00,-11.13
2/01/2018 23:00,-11.6
3/01/2018 0:00,-11.98
3/01/2018 1:00,-12.28
3/01/2018 2:00,-12.51
3/01/2018 3:00,-12.58
3/01/2018 4:00,-12.38
3/01/2018 5:00,-12.16
3/01/2018 6:00,-12.04
3/01/2018 7:00,-11.96
3/01/2018 8:00,-11.66
3/01/2018 9:00,-10.77
3/01/2018 10:00,-9.65
3/01/2018 11:00,-8.7
3/01/2018 12:00,-8.16
3/01/2018 13:00,-7.85
3/01/2018 14:00,-7.7
3/01/2018 15:00,-7.75
3/01/2018 16:00,-7.95
3/01/2018 17:00,-8.2
3/01/2018 18:00,-8.37
3/01/2018 19:00,-8.57
3/01/2018 20:00,-8.89
3/01/2018 21:00,-9.29
3/01/2018 22:00,-9.85
3/01/2018 23:00,-10.53
4/01/2018 0:00,-10.98
4/01/2018 1:00,-11.09
4/01/2018 2:00,-11.15
4/01/2018 3:00,-11.14
4/01/2018 4:00,-11.02
4/01/2018 5:00,-10.96
4/01/2018 6:00,-11.3
4/01/2018 7:00,-11.93
4/01/2018 8:00,-12.2
4/01/2018 9:00,-11.53
4/01/2018 10:00,-11.03
4/01/2018 11:00,-10.86
4/01/2018 12:00,-10.85
4/01/2018 13:00,-10.97
4/01/2018 14:00,-11.3
4/01/2018 15:00,-11.86
4/01/2018 16:00,-12.6
4/01/2018 17:00,-13.32
4/01/2018 18:00,-13.96
4/01/2018 19:00,-14.58
4/01/2018 20:00,-15.19
4/01/2018 21:00,-15.72
4/01/2018 22:00,-16.26
4/01/2018 23:00,-16.8
5/01/2018 0:00,-17.3
5/01/2018 1:00,-17.78
5/01/2018 2:00,-18.18
5/01/2018 3:00,-18.53
5/01/2018 4:00,-18.75
5/01/2018 5:00,-18.86
5/01/2018 6:00,-18.93
5/01/2018 7:00,-19.02
5/01/2018 8:00,-19.02
5/01/2018 9:00,-18.76
5/01/2018 10:00,-18.32
5/01/2018 11:00,-17.85
5/01/2018 12:00,-17.46
5/01/2018 13:00,-17.16
5/01/2018 14:00,-16.99
5/01/2018 15:00,-16.9
5/01/2018 16:00,-16.9
5/01/2018 17:00,-17
5/01/2018 18:00,-17.3
5/01/2018 19:00,-17.52
5/01/2018 20:00,-17.52
5/01/2018 21:00,-17.54
5/01/2018 22:00,-17.92
5/01/2018 23:00,-18.37
6/01/2018 0:00,-18.72
6/01/2018 1:00,-18.99
6/01/2018 2:00,-19.2
6/01/2018 3:00,-19.47
6/01/2018 4:00,-19.84
6/01/2018 5:00,-20.08
6/01/2018 6:00,-20.16
6/01/2018 7:00,-20.23
6/01/2018 8:00,-20.11
6/01/2018 9:00,-19.27
6/01/2018 10:00,-18.4
6/01/2018 11:00,-17.76
6/01/2018 12:00,-17.29
6/01/2018 13:00,-16.95
6/01/2018 14:00,-16.77
6/01/2018 15:00,-16.76
6/01/2018 16:00,-16.92
6/01/2018 17:00,-17.23
6/01/2018 18:00,-17.69
6/01/2018 19:00,-18.29
6/01/2018 20:00,-18.81
6/01/2018 21:00,-19.21
6/01/2018 22:00,-19.68
6/01/2018 23:00,-20.01
7/01/2018 0:00,-20.21
7/01/2018 1:00,-20.3
7/01/2018 2:00,-20.21
7/01/2018 3:00,-20.07
7/01/2018 4:00,-19.71
7/01/2018 5:00,-18.97
7/01/2018 6:00,-18.08
7/01/2018 7:00,-17.2
7/01/2018 8:00,-15.6
7/01/2018 9:00,-13.57
7/01/2018 10:00,-12.15
7/01/2018 11:00,-11.05
7/01/2018 12:00,-10.21
7/01/2018 13:00,-9.51
7/01/2018 14:00,-9
7/01/2018 15:00,-8.65
7/01/2018 16:00,-8.35
7/01/2018 17:00,-7.91
7/01/2018 18:00,-7.38
7/01/2018 19:00,-6.85
7/01/2018 20:00,-6.38
7/01/2018 21:00,-5.92
7/01/2018 22:00,-5.37
7/01/2018 23:00,-4.77
8/01/2018 0:00,-4.29
8/01/2018 1:00,-3.9
8/01/2018 2:00,-3.55
8/01/2018 3:00,-3.26
8/01/2018 4:00,-2.96
8/01/2018 5:00,-2.59
8/01/2018 6:00,-2.24
8/01/2018 7:00,-1.92
8/01/2018 8:00,-1.6
8/01/2018 9:00,-1.15
8/01/2018 10:00,-0.59
8/01/2018 11:00,-0.17
8/01/2018 12:00,0.15
8/01/2018 13:00,0.37
8/01/2018 14:00,0.45
8/01/2018 15:00,0.36
8/01/2018 16:00,-0.04
8/01/2018 17:00,-0.49
8/01/2018 18:00,-0.84
8/01/2018 19:00,-1.27
8/01/2018 20:00,-1.48
8/01/2018 21:00,-1.7
8/01/2018 22:00,-1.9
8/01/2018 23:00,-2.23
9/01/2018 0:00,-2.71
9/01/2018 1:00,-3.05
9/01/2018 2:00,-3.37
9/01/2018 3:00,-3.77
9/01/2018 4:00,-4.21
9/01/2018 5:00,-4.65
9/01/2018 6:00,-5.22
9/01/2018 7:00,-5.7
9/01/2018 8:00,-5.48
9/01/2018 9:00,-4.09
9/01/2018 10:00,-2.93
9/01/2018 11:00,-2.22
9/01/2018 12:00,-1.95
9/01/2018 13:00,-1.89
9/01/2018 14:00,-1.97
9/01/2018 15:00,-2.38
9/01/2018 16:00,-3.78
9/01/2018 17:00,-5.02
9/01/2018 18:00,-5.36
9/01/2018 19:00,-5.56
9/01/2018 20:00,-6.11
9/01/2018 21:00,-7.01
9/01/2018 22:00,-7.78
9/01/2018 23:00,-8.25
10/01/2018 0:00,-8.55
10/01/2018 1:00,-8.99
10/01/2018 2:00,-9.22
10/01/2018 3:00,-9.11
10/01/2018 4:00,-8.9
10/01/2018 5:00,-8.72
10/01/2018 6:00,-8.48
10/01/2018 7:00,-8.14
10/01/2018 8:00,-6.96
10/01/2018 9:00,-4.42
10/01/2018 10:00,-2.66
10/01/2018 11:00,-1.38
10/01/2018 12:00,-0.48
10/01/2018 13:00,-0.03
10/01/2018 14:00,0.18
10/01/2018 15:00,0.32
10/01/2018 16:00,0.51
10/01/2018 17:00,0.87
10/01/2018 18:00,1.28
10/01/2018 19:00,1.65
10/01/2018 20:00,2.02
10/01/2018 21:00,2.49
10/01/2018 22:00,2.79
10/01/2018 23:00,2.93
11/01/2018 0:00,3
11/01/2018 1:00,3.05
11/01/2018 2:00,3.28
11/01/2018 3:00,3.39
11/01/2018 4:00,3.74
11/01/2018 5:00,3.92
11/01/2018 6:00,4.01
11/01/2018 7:00,4.08
11/01/2018 8:00,4.28
11/01/2018 9:00,4.59
11/01/2018 10:00,5.03
11/01/2018 11:00,5.52
11/01/2018 12:00,5.95
11/01/2018 13:00,6.3
11/01/2018 14:00,6.45
11/01/2018 15:00,6.16
11/01/2018 16:00,5.62
11/01/2018 17:00,5.65
11/01/2018 18:00,6.31
11/01/2018 19:00,6.28
11/01/2018 20:00,6.21
11/01/2018 21:00,6.21
11/01/2018 22:00,6.47
11/01/2018 23:00,6.85
12/01/2018 0:00,7.09
12/01/2018 1:00,7.19
12/01/2018 2:00,7.29
12/01/2018 3:00,7.08
12/01/2018 4:00,6.82
12/01/2018 5:00,6.4
12/01/2018 6:00,5.58
12/01/2018 7:00,4.48
12/01/2018 8:00,3.25
12/01/2018 9:00,2.18
12/01/2018 10:00,1.43
12/01/2018 11:00,0.79
12/01/2018 12:00,-0.36
12/01/2018 13:00,-2.11
12/01/2018 14:00,-3.6
12/01/2018 15:00,-4.81
12/01/2018 16:00,-6.15
12/01/2018 17:00,-7.19
12/01/2018 18:00,-7.74
12/01/2018 19:00,-8.2
12/01/2018 20:00,-8.75
12/01/2018 21:00,-9.23
12/01/2018 22:00,-9.73
12/01/2018 23:00,-10.3
13/01/2018 0:00,-10.79
13/01/2018 1:00,-11.27
13/01/2018 2:00,-11.76
13/01/2018 3:00,-12.27
13/01/2018 4:00,-12.77
13/01/2018 5:00,-13.24
13/01/2018 6:00,-13.72
13/01/2018 7:00,-14.17
13/01/2018 8:00,-14.44
13/01/2018 9:00,-14.29
13/01/2018 10:00,-13.67
13/01/2018 11:00,-13.01
13/01/2018 12:00,-12.47
13/01/2018 13:00,-12.15
13/01/2018 14:00,-12.15
13/01/2018 15:00,-12.5
13/01/2018 16:00,-13.17
13/01/2018 17:00,-13.75
13/01/2018 18:00,-14.02
13/01/2018 19:00,-14.33
13/01/2018 20:00,-14.63
13/01/2018 21:00,-14.91
13/01/2018 22:00,-15.18
13/01/2018 23:00,-15.27
14/01/2018 0:00,-15.19
14/01/2018 1:00,-15.06
14/01/2018 2:00,-14.94
14/01/2018 3:00,-14.86
14/01/2018 4:00,-14.84
14/01/2018 5:00,-14.79
14/01/2018 6:00,-14.73
14/01/2018 7:00,-14.66
14/01/2018 8:00,-14.04
14/01/2018 9:00,-12.47
14/01/2018 10:00,-10.84
14/01/2018 11:00,-9.69
14/01/2018 12:00,-8.93
14/01/2018 13:00,-8.52
14/01/2018 14:00,-8.39
14/01/2018 15:00,-8.59
14/01/2018 16:00,-9.5
14/01/2018 17:00,-10.5
14/01/2018 18:00,-10.96
14/01/2018 19:00,-11.27
14/01/2018 20:00,-11.62
14/01/2018 21:00,-11.8
14/01/2018 22:00,-11.59
14/01/2018 23:00,-11.19
15/01/2018 0:00,-10.93
15/01/2018 1:00,-10.89
15/01/2018 2:00,-11.03
15/01/2018 3:00,-11.1
15/01/2018 4:00,-11.23
15/01/2018 5:00,-11.35
15/01/2018 6:00,-11.37
15/01/2018 7:00,-11.42
15/01/2018 8:00,-11.16
15/01/2018 9:00,-10.57
15/01/2018 10:00,-9.86
15/01/2018 11:00,-9.22
15/01/2018 12:00,-8.75
15/01/2018 13:00,-8.43
15/01/2018 14:00,-8.24
15/01/2018 15:00,-8.21
15/01/2018 16:00,-8.4
15/01/2018 17:00,-8.56
15/01/2018 18:00,-8.55
15/01/2018 19:00,-8.52
15/01/2018 20:00,-8.48
15/01/2018 21:00,-8.48
15/01/2018 22:00,-8.54
15/01/2018 23:00,-8.61
16/01/2018 0:00,-8.71
16/01/2018 1:00,-8.78
16/01/2018 2:00,-8.86
16/01/2018 3:00,-9
16/01/2018 4:00,-9.21
16/01/2018 5:00,-9.42
16/01/2018 6:00,-9.58
16/01/2018 7:00,-9.7
16/01/2018 8:00,-9.44
16/01/2018 9:00,-8.38
16/01/2018 10:00,-7.28
16/01/2018 11:00,-6.49
16/01/2018 12:00,-6.07
16/01/2018 13:00,-5.91
16/01/2018 14:00,-5.98
16/01/2018 15:00,-6.37
16/01/2018 16:00,-7.24
16/01/2018 17:00,-8.06
16/01/2018 18:00,-8.45
16/01/2018 19:00,-8.72
16/01/2018 20:00,-8.96
16/01/2018 21:00,-9.22
16/01/2018 22:00,-9.64
16/01/2018 23:00,-10.07
17/01/2018 0:00,-10.29
17/01/2018 1:00,-10.48
17/01/2018 2:00,-10.63
17/01/2018 3:00,-10.72
17/01/2018 4:00,-10.85
17/01/2018 5:00,-11.01
17/01/2018 6:00,-11.19
17/01/2018 7:00,-11.38
17/01/2018 8:00,-10.88
17/01/2018 9:00,-9.37
17/01/2018 10:00,-7.97
17/01/2018 11:00,-6.9
17/01/2018 12:00,-6.19
17/01/2018 13:00,-5.8
17/01/2018 14:00,-5.65
17/01/2018 15:00,-5.74
17/01/2018 16:00,-6.17
17/01/2018 17:00,-6.7
17/01/2018 18:00,-7.05
17/01/2018 19:00,-7.53
17/01/2018 20:00,-7.84
17/01/2018 21:00,-8.01
17/01/2018 22:00,-8.17
17/01/2018 23:00,-8.36
18/01/2018 0:00,-8.57
18/01/2018 1:00,-8.61
18/01/2018 2:00,-8.62
18/01/2018 3:00,-8.64
18/01/2018 4:00,-8.66
18/01/2018 5:00,-8.57
18/01/2018 6:00,-8.47
18/01/2018 7:00,-8.41
18/01/2018 8:00,-8.12
18/01/2018 9:00,-7.27
18/01/2018 10:00,-6.29
18/01/2018 11:00,-5.54
18/01/2018 12:00,-4.99
18/01/2018 13:00,-4.6
18/01/2018 14:00,-4.37
18/01/2018 15:00,-4.41
18/01/2018 16:00,-4.76
18/01/2018 17:00,-5.07
18/01/2018 18:00,-5.14
18/01/2018 19:00,-5.2
18/01/2018 20:00,-5.2
18/01/2018 21:00,-5.15
18/01/2018 22:00,-5.24
18/01/2018 23:00,-5.57
19/01/2018 0:00,-5.98
19/01/2018 1:00,-6.22
19/01/2018 2:00,-6.33
19/01/2018 3:00,-6.45
19/01/2018 4:00,-6.49
19/01/2018 5:00,-6.39
19/01/2018 6:00,-6.18
19/01/2018 7:00,-5.92
19/01/2018 8:00,-5.31
19/01/2018 9:00,-4.19
19/01/2018 10:00,-2.89
19/01/2018 11:00,-1.75
19/01/2018 12:00,-0.87
19/01/2018 13:00,-0.28
19/01/2018 14:00,-0.07
19/01/2018 15:00,-0.34
19/01/2018 16:00,-0.9
19/01/2018 17:00,-1.23
19/01/2018 18:00,-1.21
19/01/2018 19:00,-1.05
19/01/2018 20:00,-0.87
19/01/2018 21:00,-0.84
19/01/2018 22:00,-0.74
19/01/2018 23:00,-0.68
20/01/2018 0:00,-0.58
20/01/2018 1:00,-0.44
20/01/2018 2:00,-0.27
20/01/2018 3:00,-0.07
20/01/2018 4:00,0
20/01/2018 5:00,-0.03
20/01/2018 6:00,-0.06
20/01/2018 7:00,-0.1
20/01/2018 8:00,0.12
20/01/2018 9:00,0.71
20/01/2018 10:00,1.32
20/01/2018 11:00,2.03
20/01/2018 12:00,2.76
20/01/2018 13:00,3.2
20/01/2018 14:00,3.24
