time,pei_irradiance_surface
2018-01-02 00:00:00-05:00,0.0
2018-01-02 01:00:00-05:00,0.0
2018-01-02 02:00:00-05:00,0.0
2018-01-02 03:00:00-05:00,0.0
2018-01-02 04:00:00-05:00,0.0
2018-01-02 05:00:00-05:00,0.0
2018-01-02 06:00:00-05:00,0.036
2018-01-02 07:00:00-05:00,32.817
2018-01-02 08:00:00-05:00,106.723
2018-01-02 09:00:00-05:00,171.483
2018-01-02 10:00:00-05:00,203.151
2018-01-02 11:00:00-05:00,223.485
2018-01-02 12:00:00-05:00,205.283
2018-01-02 13:00:00-05:00,140.6
2018-01-02 14:00:00-05:00,70.1
2018-01-02 15:00:00-05:00,6.612
2018-01-02 16:00:00-05:00,0.0
2018-01-02 17:00:00-05:00,0.0
2018-01-02 18:00:00-05:00,0.0
2018-01-02 19:00:00-05:00,0.0
2018-01-02 20:00:00-05:00,0.0
2018-01-02 21:00:00-05:00,0.0
2018-01-02 22:00:00-05:00,0.0
2018-01-02 23:00:00-05:00,0.0
2018-01-03 00:00:00-05:00,0.0
2018-01-03 01:00:00-05:00,0.0
2018-01-03 02:00:00-05:00,0.0
2018-01-03 03:00:00-05:00,0.0
2018-01-03 04:00:00-05:00,0.0
2018-01-03 05:00:00-05:00,0.0
2018-01-03 06:00:00-05:00,0.068
2018-01-03 07:00:00-05:00,52.981
2018-01-03 08:00:00-05:00,171.606
2018-01-03 09:00:00-05:00,271.769
2018-01-03 10:00:00-05:00,339.573
2018-01-03 11:00:00-05:00,337.263
2018-01-03 12:00:00-05:00,306.638
2018-01-03 13:00:00-05:00,218.028
2018-01-03 14:00:00-05:00,95.177
2018-01-03 15:00:00-05:00,7.179
2018-01-03 16:00:00-05:00,0.0
2018-01-03 17:00:00-05:00,0.0
2018-01-03 18:00:00-05:00,0.0
2018-01-03 19:00:00-05:00,0.0
2018-01-03 20:00:00-05:00,0.0
2018-01-03 21:00:00-05:00,0.0
2018-01-03 22:00:00-05:00,0.0
2018-01-03 23:00:00-05:00,0.0
2018-01-04 00:00:00-05:00,0.0
2018-01-04 01:00:00-05:00,0.0
2018-01-04 02:00:00-05:00,0.0
2018-01-04 03:00:00-05:00,0.0
2018-01-04 04:00:00-05:00,0.0
2018-01-04 05:00:00-05:00,0.0
2018-01-04 06:00:00-05:00,0.045
2018-01-04 07:00:00-05:00,22.25
2018-01-04 08:00:00-05:00,53.939
2018-01-04 09:00:00-05:00,74.412
2018-01-04 10:00:00-05:00,72.461
2018-01-04 11:00:00-05:00,74.849
2018-01-04 12:00:00-05:00,72.047
2018-01-04 13:00:00-05:00,44.449
2018-01-04 14:00:00-05:00,22.67
2018-01-04 15:00:00-05:00,1.97
2018-01-04 16:00:00-05:00,0.0
2018-01-04 17:00:00-05:00,0.0
2018-01-04 18:00:00-05:00,0.0
2018-01-04 19:00:00-05:00,0.0
2018-01-04 20:00:00-05:00,0.0
2018-01-04 21:00:00-05:00,0.0
2018-01-04 22:00:00-05:00,0.0
2018-01-04 23:00:00-05:00,0.0
2018-01-05 00:00:00-05:00,0.0
2018-01-05 01:00:00-05:00,0.0
2018-01-05 02:00:00-05:00,0.0
2018-01-05 03:00:00-05:00,0.0
2018-01-05 04:00:00-05:00,0.0
2018-01-05 05:00:00-05:00,0.0
2018-01-05 06:00:00-05:00,0.038
2018-01-05 07:00:00-05:00,14.616
2018-01-05 08:00:00-05:00,54.467
2018-01-05 09:00:00-05:00,92.615
2018-01-05 10:00:00-05:00,113.39
2018-01-05 11:00:00-05:00,146.877
2018-01-05 12:00:00-05:00,152.981
2018-01-05 13:00:00-05:00,113.745
2018-01-05 14:00:00-05:00,58.498
2018-01-05 15:00:00-05:00,4.778
2018-01-05 16:00:00-05:00,0.0
2018-01-05 17:00:00-05:00,0.0
2018-01-05 18:00:00-05:00,0.0
2018-01-05 19:00:00-05:00,0.0
2018-01-05 20:00:00-05:00,0.0
2018-01-05 21:00:00-05:00,0.0
2018-01-05 22:00:00-05:00,0.0
2018-01-05 23:00:00-05:00,0.0
2018-01-06 00:00:00-05:00,0.0
2018-01-06 01:00:00-05:00,0.0
2018-01-06 02:00:00-05:00,0.0
2018-01-06 03:00:00-05:00,0.0
2018-01-06 04:00:00-05:00,0.0
2018-01-06 05:00:00-05:00,0.0
2018-01-06 06:00:00-05:00,0.069
2018-01-06 07:00:00-05:00,21.02
2018-01-06 08:00:00-05:00,62.161
2018-01-06 09:00:00-05:00,97.152
2018-01-06 10:00:00-05:00,123.009
2018-01-06 11:00:00-05:00,147.032
2018-01-06 12:00:00-05:00,144.37
2018-01-06 13:00:00-05:00,116.626
2018-01-06 14:00:00-05:00,64.939
2018-01-06 15:00:00-05:00,6.769
2018-01-06 16:00:00-05:00,0.0
2018-01-06 17:00:00-05:00,0.0
2018-01-06 18:00:00-05:00,0.0
2018-01-06 19:00:00-05:00,0.0
2018-01-06 20:00:00-05:00,0.0
2018-01-06 21:00:00-05:00,0.0
2018-01-06 22:00:00-05:00,0.0
2018-01-06 23:00:00-05:00,0.0
2018-01-07 00:00:00-05:00,0.0
2018-01-07 01:00:00-05:00,0.0
2018-01-07 02:00:00-05:00,0.0
2018-01-07 03:00:00-05:00,0.0
2018-01-07 04:00:00-05:00,0.0
2018-01-07 05:00:00-05:00,0.0
2018-01-07 06:00:00-05:00,0.079
2018-01-07 07:00:00-05:00,24.019
2018-01-07 08:00:00-05:00,75.509
2018-01-07 09:00:00-05:00,125.611
2018-01-07 10:00:00-05:00,163.991
2018-01-07 11:00:00-05:00,195.116
2018-01-07 12:00:00-05:00,199.855
2018-01-07 13:00:00-05:00,166.288
2018-01-07 14:00:00-05:00,95.956
2018-01-07 15:00:00-05:00,10.395
2018-01-07 16:00:00-05:00,0.0
2018-01-07 17:00:00-05:00,0.0
2018-01-07 18:00:00-05:00,0.0
2018-01-07 19:00:00-05:00,0.0
2018-01-07 20:00:00-05:00,0.0
2018-01-07 21:00:00-05:00,0.0
2018-01-07 22:00:00-05:00,0.0
2018-01-07 23:00:00-05:00,0.0
2018-01-08 00:00:00-05:00,0.0
2018-01-08 01:00:00-05:00,0.0
2018-01-08 02:00:00-05:00,0.0
2018-01-08 03:00:00-05:00,0.0
2018-01-08 04:00:00-05:00,0.0
2018-01-08 05:00:00-05:00,0.0
2018-01-08 06:00:00-05:00,0.107
2018-01-08 07:00:00-05:00,43.886
2018-01-08 08:00:00-05:00,159.502
2018-01-08 09:00:00-05:00,270.859
2018-01-08 10:00:00-05:00,341.295
2018-01-08 11:00:00-05:00,356.102
2018-01-08 12:00:00-05:00,314.306
2018-01-08 13:00:00-05:00,205.497
2018-01-08 14:00:00-05:00,66.176
2018-01-08 15:00:00-05:00,5.252
2018-01-08 16:00:00-05:00,0.0
2018-01-08 17:00:00-05:00,0.0
2018-01-08 18:00:00-05:00,0.0
2018-01-08 19:00:00-05:00,0.0
2018-01-08 20:00:00-05:00,0.0
2018-01-08 21:00:00-05:00,0.0
2018-01-08 22:00:00-05:00,0.0
2018-01-08 23:00:00-05:00,0.0
2018-01-09 00:00:00-05:00,0.0
2018-01-09 01:00:00-05:00,0.0
2018-01-09 02:00:00-05:00,0.0
2018-01-09 03:00:00-05:00,0.0
2018-01-09 04:00:00-05:00,0.0
2018-01-09 05:00:00-05:00,0.0
2018-01-09 06:00:00-05:00,0.12
2018-01-09 07:00:00-05:00,29.817
2018-01-09 08:00:00-05:00,104.201
2018-01-09 09:00:00-05:00,178.197
2018-01-09 10:00:00-05:00,206.095
2018-01-09 11:00:00-05:00,218.006
2018-01-09 12:00:00-05:00,181.819
2018-01-09 13:00:00-05:00,120.957
2018-01-09 14:00:00-05:00,53.941
2018-01-09 15:00:00-05:00,6.384
2018-01-09 16:00:00-05:00,0.0
2018-01-09 17:00:00-05:00,0.0
2018-01-09 18:00:00-05:00,0.0
2018-01-09 19:00:00-05:00,0.0
2018-01-09 20:00:00-05:00,0.0
2018-01-09 21:00:00-05:00,0.0
2018-01-09 22:00:00-05:00,0.0
2018-01-09 23:00:00-05:00,0.0
2018-01-10 00:00:00-05:00,0.0
2018-01-10 01:00:00-05:00,0.0
2018-01-10 02:00:00-05:00,0.0
2018-01-10 03:00:00-05:00,0.0
2018-01-10 04:00:00-05:00,0.0
