time,pei_temperature
2018-01-02 00:00:00-05:00,-12.055
2018-01-02 01:00:00-05:00,-12.134
2018-01-02 02:00:00-05:00,-12.267
2018-01-02 03:00:00-05:00,-12.463
2018-01-02 04:00:00-05:00,-12.726
2018-01-02 05:00:00-05:00,-13.042
2018-01-02 06:00:00-05:00,-13.332
2018-01-02 07:00:00-05:00,-13.44
2018-01-02 08:00:00-05:00,-13.193
2018-01-02 09:00:00-05:00,-12.944
2018-01-02 10:00:00-05:00,-12.602
2018-01-02 11:00:00-05:00,-12.16
2018-01-02 12:00:00-05:00,-11.756
2018-01-02 13:00:00-05:00,-11.448
2018-01-02 14:00:00-05:00,-11.34
2018-01-02 15:00:00-05:00,-11.612
2018-01-02 16:00:00-05:00,-12.034
2018-01-02 17:00:00-05:00,-12.368
2018-01-02 18:00:00-05:00,-12.842
2018-01-02 19:00:00-05:00,-13.522
2018-01-02 20:00:00-05:00,-14.255
2018-01-02 21:00:00-05:00,-14.994
2018-01-02 22:00:00-05:00,-15.69
2018-01-02 23:00:00-05:00,-16.3
2018-01-03 00:00:00-05:00,-16.728
2018-01-03 01:00:00-05:00,-16.981
2018-01-03 02:00:00-05:00,-17.147
2018-01-03 03:00:00-05:00,-17.26
2018-01-03 04:00:00-05:00,-17.318
2018-01-03 05:00:00-05:00,-17.331
2018-01-03 06:00:00-05:00,-17.299
2018-01-03 07:00:00-05:00,-16.873
2018-01-03 08:00:00-05:00,-15.23
2018-01-03 09:00:00-05:00,-13.471
2018-01-03 10:00:00-05:00,-12.24
2018-01-03 11:00:00-05:00,-11.401
2018-01-03 12:00:00-05:00,-10.692
2018-01-03 13:00:00-05:00,-10.11
2018-01-03 14:00:00-05:00,-10.04
2018-01-03 15:00:00-05:00,-10.674
2018-01-03 16:00:00-05:00,-10.788
2018-01-03 17:00:00-05:00,-11.025
2018-01-03 18:00:00-05:00,-11.529
2018-01-03 19:00:00-05:00,-11.79
2018-01-03 20:00:00-05:00,-11.52
2018-01-03 21:00:00-05:00,-11.028
2018-01-03 22:00:00-05:00,-10.217
2018-01-03 23:00:00-05:00,-9.273
2018-01-04 00:00:00-05:00,-8.504
2018-01-04 01:00:00-05:00,-8.048
2018-01-04 02:00:00-05:00,-7.675
2018-01-04 03:00:00-05:00,-7.19
2018-01-04 04:00:00-05:00,-6.633
2018-01-04 05:00:00-05:00,-6.014
2018-01-04 06:00:00-05:00,-5.3
2018-01-04 07:00:00-05:00,-4.42
2018-01-04 08:00:00-05:00,-3.371
2018-01-04 09:00:00-05:00,-2.431
2018-01-04 10:00:00-05:00,-1.631
2018-01-04 11:00:00-05:00,-0.956
2018-01-04 12:00:00-05:00,-0.381
2018-01-04 13:00:00-05:00,0.01
2018-01-04 14:00:00-05:00,0.303
2018-01-04 15:00:00-05:00,0.507
2018-01-04 16:00:00-05:00,0.476
2018-01-04 17:00:00-05:00,0.497
2018-01-04 18:00:00-05:00,0.696
2018-01-04 19:00:00-05:00,0.8
2018-01-04 20:00:00-05:00,1.5
2018-01-04 21:00:00-05:00,2.683
2018-01-04 22:00:00-05:00,3.806
2018-01-04 23:00:00-05:00,4.443
2018-01-05 00:00:00-05:00,4.49
2018-01-05 01:00:00-05:00,4.573
2018-01-05 02:00:00-05:00,4.341
2018-01-05 03:00:00-05:00,3.745
2018-01-05 04:00:00-05:00,2.881
2018-01-05 05:00:00-05:00,2.044
